,appearance_id,game_id,player_id,player_club_id,player_current_club_id,date,player_name,competition_id,yellow_cards,red_cards,goals,assists,minutes_played
0,3219259_112302,3219259,112302,1010,2441,2020-01-01,Roberto Pereyra,GB1,0,0,0,0,1
1,3219259_121477,3219259,121477,1010,543,2020-01-01,Craig Dawson,GB1,1,0,0,0,90
2,3219259_127187,3219259,127187,1010,29,2020-01-01,Abdoulaye Doucouré,GB1,0,0,1,0,90
3,3219259_128900,3219259,128900,1010,931,2020-01-01,Nathaniel Chalobah,GB1,0,0,0,0,90
4,3219259_128901,3219259,128901,543,1003,2020-01-01,Conor Coady,GB1,0,0,0,0,90
5,3219259_129476,3219259,129476,1010,410,2020-01-01,Gerard Deulofeu,GB1,0,0,1,1,73
6,3219259_13572,3219259,13572,1010,1010,2020-01-01,Ben Foster,GB1,1,0,0,0,90
7,3219259_168157,3219259,168157,543,58,2020-01-01,Leander Dendoncker,GB1,0,0,0,0,90
8,3219259_171679,3219259,171679,543,543,2020-01-01,Matt Doherty,GB1,0,0,0,0,90
9,3219259_175446,3219259,175446,543,1091,2020-01-01,Jonny Otto,GB1,0,0,0,0,54
10,3219259_204103,3219259,204103,543,931,2020-01-01,Adama Traoré,GB1,0,0,0,0,90
11,3219259_204198,3219259,204198,543,114,2020-01-01,Romain Saïss,GB1,0,0,0,0,90
12,3219259_206040,3219259,206040,543,931,2020-01-01,Raúl Jiménez,GB1,0,0,0,0,90
13,3219259_225161,3219259,225161,543,543,2020-01-01,Rúben Neves,GB1,0,0,0,0,36
14,3219259_286949,3219259,286949,1010,416,2020-01-01,Adam Masina,GB1,0,0,0,0,17
15,3219259_29364,3219259,29364,543,1075,2020-01-01,João Moutinho,GB1,0,0,0,1,90
16,3219259_340950,3219259,340950,543,31,2020-01-01,Diogo Jota,GB1,0,0,0,0,24
17,3219259_357158,3219259,357158,543,276,2020-01-01,Rúben Vinagre,GB1,0,0,0,0,36
18,3219259_410225,3219259,410225,1010,873,2020-01-01,Ismaïla Sarr,GB1,0,0,0,1,90
19,3219259_41112,3219259,41112,1010,683,2020-01-01,Jose Cholevas,GB1,0,0,0,0,30
20,3219259_45026,3219259,45026,543,800,2020-01-01,Rui Patrício,GB1,0,0,0,0,90
21,3219259_487465,3219259,487465,543,631,2020-01-01,Pedro Neto,GB1,1,0,1,0,66
22,3219259_59606,3219259,59606,1010,1010,2020-01-01,Craig Cathcart,GB1,0,0,0,0,90
23,3219259_63494,3219259,63494,1010,1050,2020-01-01,Étienne Capoue,GB1,0,0,0,0,90
24,3219259_65477,3219259,65477,1010,1010,2020-01-01,Troy Deeney,GB1,1,0,0,0,90
25,3219259_67252,3219259,67252,543,1003,2020-01-01,Ryan Bennett,GB1,0,0,0,0,54
26,3219259_76467,3219259,76467,1010,1050,2020-01-01,Kiko Femenía,GB1,0,0,0,0,60
27,3219259_81512,3219259,81512,1010,410,2020-01-01,Christian Kabasele,GB1,0,1,0,0,71
28,3219262_111630,3219262,111630,148,2441,2020-01-01,Erik Lamela,GB1,0,0,0,0,15
29,3219262_112988,3219262,112988,180,11,2020-01-01,Cédric Soares,GB1,0,0,0,0,90
30,3219262_127032,3219262,127032,148,703,2020-01-01,Serge Aurier,GB1,1,0,0,0,90
31,3219262_129078,3219262,129078,180,1132,2020-01-01,Nathan Redmond,GB1,0,0,0,0,90
32,3219262_130765,3219262,130765,180,180,2020-01-01,Stuart Armstrong,GB1,0,0,0,0,90
33,3219262_132098,3219262,132098,148,27,2020-01-01,Harry Kane,GB1,0,0,0,0,75
34,3219262_134294,3219262,134294,180,379,2020-01-01,Danny Ings,GB1,0,0,1,0,76
35,3219262_163744,3219262,163744,180,180,2020-01-01,Jack Stephens,GB1,0,0,0,1,90
36,3219262_167799,3219262,167799,180,244,2020-01-01,Pierre-Emile Højbjerg,GB1,0,0,0,0,90
37,3219262_181579,3219262,181579,180,379,2020-01-01,James Ward-Prowse,GB1,1,0,0,0,90
38,3219262_195488,3219262,195488,148,12321,2020-01-01,Paulo Gazzaniga,GB1,0,0,0,0,90
39,3219262_207929,3219262,207929,148,1047,2020-01-01,Dele Alli,GB1,0,0,0,0,90
40,3219262_243028,3219262,243028,180,180,2020-01-01,Jan Bednarek,GB1,1,0,0,0,90
41,3219262_348795,3219262,348795,148,150,2020-01-01,Giovani Lo Celso,GB1,1,0,0,0,65
42,3219262_37304,3219262,37304,180,180,2020-01-01,Shane Long,GB1,0,0,0,0,32
