,game_id,competition_id,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,url,home_club_formation,away_club_formation,home_club_name,away_club_name,aggregate,competition_type
0,3199586,FR1,2019,23. Matchday,2020-02-05,969.0,347.0,1.0,1.0,5.0,16.0,Michel Der Zakarian,Vincent Hognon,Stade de la Mosson,10786.0,Hakim Ben El Hadj,https://www.transfermarkt.co.uk/montpellier-hsc_fc-metz/index/spielbericht/3199586,3-4-1-2,3-5-2 flat,Montpellier Hérault Sport Club,FC Metz,1:1,domestic_league
1,3199613,FR1,2019,25. Matchday,2020-02-16,1421.0,273.0,1.0,0.0,8.0,3.0,David Guion,Julien Stéphan,Stade Auguste-Delaune,13026.0,Florent Batta,https://www.transfermarkt.co.uk/stade-reims_stade-rennais-fc/index/spielbericht/3199613,4-3-3 Attacking,4-4-2 double 6,Stade de Reims,Stade Rennais Football Club,1:0,domestic_league
2,3199629,FR1,2019,27. Matchday,2020-03-01,1041.0,618.0,2.0,0.0,5.0,16.0,Rudi Garcia,Claude Puel,Groupama Stadium,52772.0,Frank Schneider,https://www.transfermarkt.co.uk/olympique-lyon_as-saint-etienne/index/spielbericht/3199629,4-3-3 Attacking,4-4-2,Olympique Lyonnais,Association sportive de Saint-Étienne Loire,2:0,domestic_league
3,3199638,FR1,2019,27. Matchday,2020-03-01,995.0,1082.0,0.0,1.0,11.0,4.0,Christian Gourcuff,Christophe Galtier,Stade de la Beaujoire,20704.0,Willy Delajod,https://www.transfermarkt.co.uk/fc-nantes_losc-lille/index/spielbericht/3199638,4-4-2,4-4-2,Football Club de Nantes,Lille Olympique Sporting Club,0:1,domestic_league
4,3199643,FR1,2019,28. Matchday,2020-03-08,618.0,40.0,1.0,1.0,17.0,12.0,Claude Puel,Paulo Sousa,Stade Geoffroy-Guichard,24912.0,Thomas Léonard,https://www.transfermarkt.co.uk/as-saint-etienne_fc-girondins-bordeaux/index/spielbericht/3199643,4-3-3 Attacking,4-2-3-1,Association sportive de Saint-Étienne Loire,FC Girondins Bordeaux,1:1,domestic_league
5,3201758,SC1,2019,25. Matchday,2020-02-05,370.0,2578.0,0.0,1.0,4.0,8.0,Derek McInnes,Tommy Wright,Pittodrie Stadium,12552.0,Kevin Clancy,https://www.transfermarkt.co.uk/aberdeen-fc_st-johnstone-fc/index/spielbericht/3201758,4-2-3-1,4-1-4-1,Aberdeen Football Club,Saint Johnstone Football Club,0:1,domestic_league
6,3201779,SC1,2019,28. Matchday,2020-02-22,903.0,1241.0,1.0,1.0,6.0,5.0,Jack Ross,Gary Holt,Easter Road Stadium,15553.0,Alan Newlands,https://www.transfermarkt.co.uk/hibernian-fc_livingston-fc/index/spielbericht/3201779,3-4-1-2,3-1-4-2,Hibernian Football Club,Livingston FC,1:1,domestic_league
7,3201782,SC1,2019,29. Matchday,2020-03-03,903.0,43.0,1.0,3.0,6.0,12.0,Jack Ross,Daniel Stendel,Easter Road Stadium,20197.0,Kevin Clancy,https://www.transfermarkt.co.uk/hibernian-fc_heart-of-midlothian-fc/index/spielbericht/3201782,3-4-1-2,4-4-2 double 6,Hibernian Football Club,Heart of Midlothian Football Club,1:3,domestic_league
8,3203613,L1,2019,21. Matchday,2020-02-09,27.0,23826.0,0.0,0.0,1.0,2.0,Hansi Flick,Julian Nagelsmann,Allianz Arena,75000.0,Marco Fritz,https://www.transfermarkt.co.uk/bayern-munich_rb-leipzig/index/spielbericht/3203613,4-3-3 Attacking,5-4-1,FC Bayern München,RasenBallsport Leipzig,0:0,domestic_league
9,3203669,L1,2019,27. Matchday,2020-05-23,82.0,16.0,0.0,2.0,6.0,2.0,Oliver Glasner,Lucien Favre,Volkswagen Arena,,Daniel Siebert,https://www.transfermarkt.co.uk/vfl-wolfsburg_borussia-dortmund/index/spielbericht/3203669,4-4-2,3-4-2-1,Verein für Leibesübungen Wolfsburg,Borussia Dortmund,0:2,domestic_league
10,3208634,ES1,2019,38. Matchday,2020-07-19,1050.0,1533.0,4.0,0.0,5.0,14.0,Javier Calleja,José Luis Mendilibar,La Cerámica,,Javier Alberola Rojas,https://www.transfermarkt.co.uk/villarreal-cf_sd-eibar/index/spielbericht/3208634,4-2-3-1,4-4-2 double 6,Villarreal Club de Fútbol S.A.D.,SD Eibar,4:0,domestic_league
