,player_id,date,market_value_in_eur,current_club_id,player_club_domestic_competition_id
0,5794,2020-01-01,500000,3368,ES1
1,21972,2020-01-01,200000,607,IT1
2,34409,2020-01-01,1000000,873,GB1
3,35934,2020-01-01,700000,932,RU1
4,36881,2020-01-01,900000,932,RU1
5,56609,2020-01-01,300000,276,IT1
6,72798,2020-01-01,100000,20100,DK1
7,240803,2020-01-01,450000,276,IT1
8,298313,2020-01-01,200000,6418,GR1
9,443710,2020-01-01,200000,79,L1
10,659813,2020-01-01,100000,15,L1
11,687626,2020-01-01,50000,631,GB1
12,26200,2020-01-02,125000,605,GR1
13,42787,2020-01-02,125000,167,L1
14,47435,2020-01-02,250000,2671,GR1
15,54714,2020-01-02,75000,2671,GR1
16,61857,2020-01-02,575000,128,GR1
17,99007,2020-01-02,175000,2439,RU1
18,107777,2020-01-02,150000,2999,SC1
19,122945,2020-01-02,275000,5220,GR1
20,175739,2020-01-02,225000,2553,SC1
21,191854,2020-01-02,300000,441,GR1
22,226184,2020-01-02,450000,3714,RU1
23,234163,2020-01-02,175000,605,GR1
24,239570,2020-01-02,200000,276,IT1
25,267546,2020-01-02,125000,169,GR1
26,270019,2020-01-02,150000,6992,UKR1
27,289228,2020-01-02,375000,924,TR1
28,304144,2020-01-02,300000,1390,IT1
29,304338,2020-01-02,75000,3999,GR1
30,309929,2020-01-02,300000,4083,IT1
31,481795,2020-01-02,550000,924,TR1
32,505324,2020-01-02,75000,80,L1
33,521872,2020-01-02,75000,2698,RU1
34,523046,2020-01-02,200000,4603,GR1
35,533732,2020-01-02,25000,5219,GR1
36,538566,2020-01-02,300000,924,TR1
37,541006,2020-01-02,25000,1124,RU1
38,583917,2020-01-02,225000,114,TR1
39,597290,2020-01-02,125000,53646,UKR1
40,606967,2020-01-02,50000,152,TR1
41,608760,2020-01-02,275000,48332,UKR1
42,4188,2020-01-03,500000,2420,PO1
43,5782,2020-01-03,500000,36,TR1
44,7152,2020-01-03,50000,868,TR1
45,7449,2020-01-03,1500000,6890,TR1
46,8487,2020-01-03,350000,589,TR1
47,8552,2020-01-03,400000,2381,TR1
48,8691,2020-01-03,75000,868,TR1
49,10471,2020-01-03,7000000,36,TR1
50,13217,2020-01-03,400000,449,TR1
51,15511,2020-01-03,750000,6890,TR1
52,16058,2020-01-03,500000,24245,TR1
53,16101,2020-01-03,400000,114,TR1
54,16135,2020-01-03,4000000,141,TR1
55,16335,2020-01-03,125000,589,TR1
56,16693,2020-01-03,50000,3205,TR1
57,17465,2020-01-03,300000,589,TR1
58,18547,2020-01-03,75000,2293,TR1
59,19041,2020-01-03,150000,114,TR1
60,20137,2020-01-03,2500000,36,TR1
61,21369,2020-01-03,800000,141,TR1
62,21370,2020-01-03,150000,6890,TR1
63,24180,2020-01-03,1000000,6890,TR1
64,25942,2020-01-03,175000,3205,TR1
65,27805,2020-01-03,800000,200,NL1
66,29631,2020-01-03,75000,11282,TR1
67,30386,2020-01-03,150000,820,TR1
68,30710,2020-01-03,750000,833,TR1
69,30739,2020-01-03,1500000,449,TR1
70,31336,2020-01-03,375000,589,TR1
71,31773,2020-01-03,200000,10484,TR1
72,31867,2020-01-03,650000,2381,TR1
73,33793,2020-01-03,550000,126,TR1
74,33952,2020-01-03,1800000,126,TR1
75,33953,2020-01-03,250000,868,TR1
76,34937,2020-01-03,450000,39722,TR1
77,34987,2020-01-03,1800000,385,NL1
78,35026,2020-01-03,300000,141,TR1
79,35069,2020-01-03,850000,833,TR1
80,35242,2020-01-03,700000,4294,PO1
81,35530,2020-01-03,350000,820,TR1
82,35855,2020-01-03,600000,1467,TR1
83,36182,2020-01-03,10500000,82,L1
84,36200,2020-01-03,500000,19789,TR1
85,37091,2020-01-03,250000,3205,TR1
86,37157,2020-01-03,300000,820,TR1
87,37216,2020-01-03,650000,2375,TR1
88,37839,2020-01-03,350000,2293,TR1
89,37899,2020-01-03,75000,868,TR1
90,37934,2020-01-03,750000,833,TR1
91,37951,2020-01-03,200000,833,TR1
92,38195,2020-01-03,125000,19789,TR1
93,38360,2020-01-03,700000,6646,TR1
94,38414,2020-01-03,900000,10484,TR1
95,39152,2020-01-03,6000000,367,ES1
96,39247,2020-01-03,300000,10484,TR1
97,39333,2020-01-03,1500000,7160,TR1
98,39724,2020-01-03,550000,36,TR1
99,40205,2020-01-03,750000,6890,TR1
