,player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
0,2857,Eldin,Jakupovic,Eldin Jakupovic,2022-01-01,29,eldin-jakupovic,Jugoslawien (SFR),Kozarac,Switzerland,1984-10-02 00:00:00,Goalkeeper,Goalkeeper,right,191.0,2023-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/2857-1678026401.jpg?lm=1,https://www.transfermarkt.co.uk/eldin-jakupovic/profil/spieler/2857,GB1,Everton Football Club,100000.0,1500000.0
1,3333,James,Milner,James Milner,2024-01-01,1237,james-milner,England,Leeds,England,1986-01-04 00:00:00,Central Midfield,Midfield,right,175.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,https://www.transfermarkt.co.uk/james-milner/profil/spieler/3333,GB1,Brighton and Hove Albion Football Club,1000000.0,21000000.0
2,3455,Zlatan,Ibrahimović,Zlatan Ibrahimović,2022-01-01,5,zlatan-ibrahimović,Sweden,Malmö,Sweden,1981-10-03 00:00:00,Centre-Forward,Attack,right,195.0,,Team Raiola,https://img.a.transfermarkt.technology/portrait/header/3455-1579506060.jpg?lm=1,https://www.transfermarkt.co.uk/zlatan-ibrahimovi%C4%87/profil/spieler/3455,IT1,Associazione Calcio Milan,2000000.0,46000000.0
3,3466,Kevin,Stuhr-Ellegaard,Kevin Stuhr-Ellegaard,2021-01-01,1053,kevin-stuhr-ellegaard,Denmark,Kopenhagen,Denmark,1983-05-23 00:00:00,Goalkeeper,Goalkeeper,right,196.0,,NSG ApS,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.co.uk/kevin-stuhr-ellegaard/profil/spieler/3466,DK1,Aalborg Boldspilklub,100000.0,1500000.0
4,3875,Jermain,Defoe,Jermain Defoe,2021-01-01,124,jermain-defoe,England,London,England,1982-10-07 00:00:00,Centre-Forward,Attack,right,171.0,,Wasserman,https://img.a.transfermarkt.technology/portrait/header/3875-1483634406.jpg?lm=1,https://www.transfermarkt.co.uk/jermain-defoe/profil/spieler/3875,SC1,Rangers Football Club,400000.0,18000000.0
5,4188,Ricardo,Quaresma,Ricardo Quaresma,2021-01-01,2420,ricardo-quaresma,Portugal,Lisboa,Portugal,1983-09-26 00:00:00,Right Winger,Attack,right,175.0,,,https://img.a.transfermarkt.technology/portrait/header/4188-1631004334.jpg?lm=1,https://www.transfermarkt.co.uk/ricardo-quaresma/profil/spieler/4188,PO1,Vitória Sport Clube,300000.0,25000000.0
6,4311,Maarten,Stekelenburg,Maarten Stekelenburg,2022-01-01,610,maarten-stekelenburg,,Haarlem,,1982-09-22 00:00:00,Goalkeeper,Goalkeeper,right,197.0,,Wasserman,https://img.a.transfermarkt.technology/portrait/header/4311-1666951999.jpg?lm=1,https://www.transfermarkt.co.uk/maarten-stekelenburg/profil/spieler/4311,NL1,AFC Ajax Amsterdam,75000.0,11000000.0
7,4357,Klaas-Jan,Huntelaar,Klaas-Jan Huntelaar,2020-01-01,610,klaas-jan-huntelaar,Netherlands,Voor-Drempt,Netherlands,1983-08-12 00:00:00,Centre-Forward,Attack,right,186.0,,Soccer Vision ,https://img.a.transfermarkt.technology/portrait/header/4357-1684166367.jpg?lm=1,https://www.transfermarkt.co.uk/klaas-jan-huntelaar/profil/spieler/4357,NL1,AFC Ajax Amsterdam,800000.0,20000000.0
8,4360,Arjen,Robben,Arjen Robben,2020-01-01,202,arjen-robben,Netherlands,Bedum,Netherlands,1984-01-23 00:00:00,Right Winger,Attack,left,180.0,,,https://img.a.transfermarkt.technology/portrait/header/4360-1540568808.jpg?lm=1,https://www.transfermarkt.co.uk/arjen-robben/profil/spieler/4360,NL1,Football Club Groningen,200000.0,40000000.0
9,4391,Boy,Waterman,Boy Waterman,2023-01-01,383,boy-waterman,Netherlands,Lelystad,Netherlands,1984-01-24 00:00:00,Goalkeeper,Goalkeeper,right,188.0,,Sp international,https://img.a.transfermarkt.technology/portrait/header/4391-1583743570.jpg?lm=1,https://www.transfermarkt.co.uk/boy-waterman/profil/spieler/4391,NL1,Eindhovense Voetbalvereniging Philips Sport Vereniging,50000.0,3000000.0
