file_name,stage,executed_at,read_duration_seconds,write_duration_seconds,num_records_ingested,file_size_mb
transfers.csv,ingestion,40 minutes ago,0.9,2.24,39251,3.12
player_valuations.csv,ingestion,40 minutes ago,0.96,2.25,195750,6.29
players.csv,ingestion,40 minutes ago,0.57,3.2,17621,6.15
games.csv,ingestion,40 minutes ago,0.76,3.25,30141,8.73
game_lineups.csv,ingestion,40 minutes ago,2.14,34.41,904772,87.43
game_events.csv,ingestion,41 minutes ago,1.43,3.81,471993,49.34
competitions.csv,ingestion,41 minutes ago,0.3,1.44,44,0.01
clubs.csv,ingestion,41 minutes ago,0.52,1.51,439,0.09
club_games.csv,ingestion,41 minutes ago,0.89,2.91,147390,8.7
appearance.csv,ingestion,41 minutes ago,2.49,5.7,715463,53.95
transfers.csv,ingestion,1 hours ago,0.71,2.9,39251,3.12
player_valuations.csv,ingestion,1 hours ago,0.97,2.94,195750,6.29
players.csv,ingestion,1 hours ago,0.56,4.0,17621,6.15
games.csv,ingestion,1 hours ago,0.76,3.79,30141,8.73
game_lineups.csv,ingestion,1 hours ago,1.98,34.4,904772,87.43
game_events.csv,ingestion,1 hours ago,1.34,3.86,471993,49.34
competitions.csv,ingestion,1 hours ago,0.32,1.87,44,0.01
clubs.csv,ingestion,1 hours ago,0.49,1.82,439,0.09
club_games.csv,ingestion,1 hours ago,0.88,2.73,147390,8.7
appearance.csv,ingestion,1 hours ago,2.65,5.92,715463,53.95
transfers.csv,ingestion,4 hours ago,0.51,2.37,39251,3.12
player_valuations.csv,ingestion,4 hours ago,0.88,2.5,195750,6.29
players.csv,ingestion,4 hours ago,0.55,3.05,17621,6.15
games.csv,ingestion,4 hours ago,0.59,3.41,30141,8.73
game_lineups.csv,ingestion,4 hours ago,1.79,34.57,904772,87.43
game_events.csv,ingestion,4 hours ago,1.28,3.74,471993,49.34
competitions.csv,ingestion,4 hours ago,0.36,1.74,44,0.01
clubs.csv,ingestion,4 hours ago,0.27,1.59,439,0.09
club_games.csv,ingestion,4 hours ago,0.78,3.06,147390,8.7
appearance.csv,ingestion,4 hours ago,1.87,4.86,715463,53.95
transfers.csv,ingestion,4 hours ago,0.52,1.86,39251,3.12
player_valuations.csv,ingestion,4 hours ago,0.82,2.05,195750,6.29
players.csv,ingestion,4 hours ago,0.49,2.64,17621,6.15
games.csv,ingestion,4 hours ago,0.65,2.84,30141,8.73
game_lineups.csv,ingestion,4 hours ago,1.8,33.66,904772,87.43
game_events.csv,ingestion,4 hours ago,1.29,3.2,471993,49.34
competitions.csv,ingestion,4 hours ago,0.28,1.0,44,0.01
clubs.csv,ingestion,4 hours ago,0.34,0.97,439,0.09
club_games.csv,ingestion,4 hours ago,0.77,2.21,147390,8.7
appearance.csv,ingestion,4 hours ago,2.79,4.68,715463,53.95
transfers.csv,ingestion,23 hours ago,0.58,2.58,39251,3.12
player_valuations.csv,ingestion,23 hours ago,0.87,2.61,195750,6.29
players.csv,ingestion,23 hours ago,0.59,3.1,17621,6.15
games.csv,ingestion,23 hours ago,0.62,3.04,30141,8.73
game_lineups.csv,ingestion,23 hours ago,1.77,35.72,904772,87.43
game_events.csv,ingestion,23 hours ago,1.23,4.46,471993,49.34
competitions.csv,ingestion,23 hours ago,0.34,2.18,44,0.01
clubs.csv,ingestion,23 hours ago,0.5,2.49,439,0.09
club_games.csv,ingestion,23 hours ago,0.8,3.44,147390,8.7
appearance.csv,ingestion,23 hours ago,3.14,7.08,715463,53.95
transfers.csv,ingestion,1 days ago,0.59,3.28,39251,3.12
player_valuations.csv,ingestion,1 days ago,0.8,3.34,195750,6.29
players.csv,ingestion,1 days ago,0.57,3.6,17621,6.15
games.csv,ingestion,1 days ago,0.56,5.12,30141,8.73
game_lineups.csv,ingestion,1 days ago,1.72,34.79,904772,87.43
game_events.csv,ingestion,1 days ago,1.22,4.48,471993,49.34
competitions.csv,ingestion,1 days ago,0.34,2.3,44,0.01
clubs.csv,ingestion,1 days ago,0.44,2.67,439,0.09
club_games.csv,ingestion,1 days ago,0.73,3.7,147390,8.7
