table_catalog,table_schema,table_name,column_name,data_type
ddca_final_project_databricks_workspace,bronze,appearance,appearance_id,string
ddca_final_project_databricks_workspace,bronze,appearance,game_id,int
ddca_final_project_databricks_workspace,bronze,appearance,player_id,int
ddca_final_project_databricks_workspace,bronze,appearance,player_club_id,int
ddca_final_project_databricks_workspace,bronze,appearance,player_current_club_id,int
ddca_final_project_databricks_workspace,bronze,appearance,date,date
ddca_final_project_databricks_workspace,bronze,appearance,player_name,string
ddca_final_project_databricks_workspace,bronze,appearance,competition_id,string
ddca_final_project_databricks_workspace,bronze,appearance,yellow_cards,int
ddca_final_project_databricks_workspace,bronze,appearance,red_cards,int
ddca_final_project_databricks_workspace,bronze,appearance,goals,int
ddca_final_project_databricks_workspace,bronze,appearance,assists,int
ddca_final_project_databricks_workspace,bronze,appearance,minutes_played,int
ddca_final_project_databricks_workspace,bronze,club_games,game_id,int
ddca_final_project_databricks_workspace,bronze,club_games,club_id,int
ddca_final_project_databricks_workspace,bronze,club_games,own_goals,int
ddca_final_project_databricks_workspace,bronze,club_games,own_position,int
ddca_final_project_databricks_workspace,bronze,club_games,own_manager_name,string
ddca_final_project_databricks_workspace,bronze,club_games,opponent_id,int
ddca_final_project_databricks_workspace,bronze,club_games,opponent_goals,int
ddca_final_project_databricks_workspace,bronze,club_games,opponent_position,int
ddca_final_project_databricks_workspace,bronze,club_games,opponent_manager_name,string
ddca_final_project_databricks_workspace,bronze,club_games,hosting,string
ddca_final_project_databricks_workspace,bronze,club_games,is_win,int
ddca_final_project_databricks_workspace,bronze,clubs,club_id,int
ddca_final_project_databricks_workspace,bronze,clubs,club_code,string
ddca_final_project_databricks_workspace,bronze,clubs,name,string
ddca_final_project_databricks_workspace,bronze,clubs,domestic_competition_id,string
ddca_final_project_databricks_workspace,bronze,clubs,total_market_value,string
ddca_final_project_databricks_workspace,bronze,clubs,squad_size,int
ddca_final_project_databricks_workspace,bronze,clubs,average_age,double
ddca_final_project_databricks_workspace,bronze,clubs,foreigners_number,int
ddca_final_project_databricks_workspace,bronze,clubs,foreigners_percentage,double
ddca_final_project_databricks_workspace,bronze,clubs,national_team_players,int
ddca_final_project_databricks_workspace,bronze,clubs,stadium_name,string
ddca_final_project_databricks_workspace,bronze,clubs,stadium_seats,int
ddca_final_project_databricks_workspace,bronze,clubs,net_transfer_record,string
ddca_final_project_databricks_workspace,bronze,clubs,coach_name,string
ddca_final_project_databricks_workspace,bronze,clubs,last_season,int
ddca_final_project_databricks_workspace,bronze,clubs,filename,string
ddca_final_project_databricks_workspace,bronze,clubs,url,string
ddca_final_project_databricks_workspace,bronze,competitions,competition_id,string
ddca_final_project_databricks_workspace,bronze,competitions,competition_code,string
ddca_final_project_databricks_workspace,bronze,competitions,name,string
ddca_final_project_databricks_workspace,bronze,competitions,sub_type,string
ddca_final_project_databricks_workspace,bronze,competitions,type,string
ddca_final_project_databricks_workspace,bronze,competitions,country_id,int
ddca_final_project_databricks_workspace,bronze,competitions,country_name,string
ddca_final_project_databricks_workspace,bronze,competitions,domestic_league_code,string
ddca_final_project_databricks_workspace,bronze,competitions,confederation,string
ddca_final_project_databricks_workspace,bronze,competitions,url,string
ddca_final_project_databricks_workspace,bronze,competitions,is_major_national_league,boolean
ddca_final_project_databricks_workspace,bronze,game_events,game_event_id,string
ddca_final_project_databricks_workspace,bronze,game_events,date,date
ddca_final_project_databricks_workspace,bronze,game_events,game_id,int
ddca_final_project_databricks_workspace,bronze,game_events,minute,int
ddca_final_project_databricks_workspace,bronze,game_events,type,string
ddca_final_project_databricks_workspace,bronze,game_events,club_id,int
ddca_final_project_databricks_workspace,bronze,game_events,player_id,int
ddca_final_project_databricks_workspace,bronze,game_events,description,string
